"filename", "language", "AL", "HTTP", "alapp", "XML", "comment", "blank", "total"
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\old_app_codebase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.23.8031457.app", "alapp", 0, 0, 4161, 0, 0, 25, 4186
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\old_app_codebase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.23.8041317.app", "alapp", 0, 0, 4124, 0, 0, 25, 4149
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\old_app_codebase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.23.8071222.app", "alapp", 0, 0, 4137, 0, 0, 26, 4163
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\old_app_codebase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.23.8071418.app", "alapp", 0, 0, 4165, 0, 0, 23, 4188
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\old_app_codebase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.23.8081454.app", "alapp", 0, 0, 4163, 0, 0, 21, 4184
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\old_app_codebase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.23.8090928.app", "alapp", 0, 0, 4137, 0, 0, 20, 4157
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\old_app_codebase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.23.8101528.app", "alapp", 0, 0, 4651, 0, 0, 23, 4674
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\old_app_codebase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.23.8110745.app", "alapp", 0, 0, 4186, 0, 0, 22, 4208
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\old_app_codebase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.23.8110856.app", "alapp", 0, 0, 4199, 0, 0, 25, 4224
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\old_app_codebase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.23.8111302.app", "alapp", 0, 0, 4264, 0, 0, 24, 4288
