"filename", "language", "AL", "HTTP", "JSON with Comments", "JSON", "Markdown", "alapp", "XML", "Batch", "comment", "blank", "total"
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\codeunit\RecursiveBOMCalculation.Codeunit.al", "AL", 214, 0, 0, 0, 0, 0, 0, 0, 175, 62, 451
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\codeunit\RestartAllJobqueue.Codeunit.al", "AL", 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\codeunit\SalesComparisonUpdate.Codeunit.al", "AL", 291, 0, 0, 0, 0, 0, 0, 0, 145, 56, 492
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\codeunit\ScanpanMiscellaneous.Codeunit.al", "AL", 1168, 0, 0, 0, 0, 0, 0, 0, 257, 140, 1565
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\codeunit\SubscriberCU.Codeunit.al", "AL", 283, 0, 0, 0, 0, 0, 0, 0, 214, 53, 550
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\codeunit\SubscriberShipmondo.Codeunit.al", "AL", 242, 0, 0, 0, 0, 0, 0, 0, 163, 83, 488
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\codeunit\TESTCU.Codeunit.al", "AL", 63, 0, 0, 0, 0, 0, 0, 0, 5, 20, 88
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\enum\AddressTypes.Enum.al", "AL", 16, 0, 0, 0, 0, 0, 0, 0, 6, 5, 27
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\enum\CampaignStatisticsDocTypes.Enum.al", "AL", 16, 0, 0, 0, 0, 0, 0, 0, 6, 3, 25
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\enum\CountryMarketType.Enum.al", "AL", 21, 0, 0, 0, 0, 0, 0, 0, 3, 5, 29
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\enum\CountrySalesChannelEnum.Enum.al", "AL", 21, 0, 0, 0, 0, 0, 0, 0, 3, 5, 29
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\enum\DSVOrderState.Enum.al", "AL", 33, 0, 0, 0, 0, 0, 0, 0, 3, 8, 44
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\enum\DSVShipmentState.Enum.al", "AL", 20, 0, 0, 0, 0, 0, 0, 0, 3, 7, 30
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\enum\DSVTransportMode.Enum.al", "AL", 19, 0, 0, 0, 0, 0, 0, 0, 6, 7, 32
