Date : 2025-06-02 14:21:50
Directory : c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST
Total : 319 files,  112477 codes, 5331 comments, 4279 blanks, all 122087 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\page ext\GetShipmentLines.PageExt.al                          | AL                 |         94 |         15 |         12 |        121 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\page ext\IDYSTranspOrderLstExtSC.PageExt.al                   | AL                 |          0 |         31 |          3 |         34 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\page ext\IDYSTransportOrderCard.PageExt.al                    | AL                 |          0 |         41 |          3 |         44 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\page ext\IDYSTransportOrderLines.PageExt.al                   | AL                 |          0 |         19 |          2 |         21 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\page ext\ITIIICDocumentLogEntriesExtSC.PageExt.al             | AL                 |         19 |          9 |          3 |         31 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\page ext\InventorySetup.PageExt.al                            | AL                 |         66 |          9 |          3 |         78 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\page ext\InvtReceipts.PageExt.al                              | AL                 |          8 |          0 |          6 |         14 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\page ext\ItemAvailabilityByEvent.PageExt.al                   | AL                 |         22 |          8 |         13 |         43 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\page ext\ItemCard.PageExt.al                                  | AL                 |        119 |          5 |          8 |        132 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\page ext\ItemCrossReferenceEntries.PageExt.al                 | AL                 |         12 |          3 |          8 |         23 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\page ext\ItemJournalExtSC.PageExt.al                          | AL                 |         23 |          9 |          5 |         37 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\page ext\ItemList.PageExt.al                                  | AL                 |        179 |         29 |         22 |        230 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\page ext\ItemLookupExtSC.PageExt.al                           | AL                 |         13 |          9 |         10 |         32 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\page ext\ItemPictureExtSC.PageExt.al                          | AL                 |         24 |         10 |          5 |         39 |
