"filename", "language", "JSON", "AL", "alapp", "HTTP", "XML", "Batch", "comment", "blank", "total"
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page ext\NOTOTransferOrderLinesExtSC.PageExt.al", "AL", 0, 29, 0, 0, 0, 0, 3, 6, 38
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page ext\OutputJournalExtSC.PageExt.al", "AL", 0, 12, 0, 0, 0, 0, 9, 5, 26
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page ext\PhysInventoryJournal.PageExt.al", "AL", 0, 54, 0, 0, 0, 0, 9, 12, 75
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page ext\PlanningWorksheet.PageExt.al", "AL", 0, 62, 0, 0, 0, 0, 3, 9, 74
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page ext\PostedInvtShipments.PageExt.al", "AL", 0, 4, 0, 0, 0, 0, 3, 4, 11
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page ext\PostedPurchaseInvoices.PageExt.al", "AL", 0, 27, 0, 0, 0, 0, 3, 4, 34
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page ext\PostedSalesInvocies.PageExt.al", "AL", 0, 37, 0, 0, 0, 0, 10, 7, 54
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page ext\PostedSalesInvoice.PageExt.al", "AL", 0, 66, 0, 0, 0, 0, 11, 3, 80
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page ext\PostedSalesInvoiceSubform.PageExt.al", "AL", 0, 23, 0, 0, 0, 0, 7, 4, 34
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page ext\PostedSalesShipment.PageExt.al", "AL", 0, 0, 0, 0, 0, 0, 51, 2, 53
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page ext\PostedSalesShipments.PageExt.al", "AL", 0, 46, 0, 0, 0, 0, 31, 7, 84
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page ext\PostedSalesShptSubform.PageExt.al", "AL", 0, 15, 0, 0, 0, 0, 6, 7, 28
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page ext\PostedWhseShipment.PageExt.al", "AL", 0, 16, 0, 0, 0, 0, 8, 7, 31
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page ext\PostedWhseShipmentList.PageExt.al", "AL", 0, 21, 0, 0, 0, 0, 8, 6, 35
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page ext\PostedWhseShipmentSubform.PageExt.al", "AL", 0, 15, 0, 0, 0, 0, 6, 9, 30
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page ext\PriceListLineReview.PageExt.al", "AL", 0, 7, 0, 0, 0, 0, 11, 4, 22
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page ext\PriceListLinesExtSC.PageExt.al", "AL", 0, 21, 0, 0, 0, 0, 9, 6, 36
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page ext\ProdBOMWhereUsed.PageExt.al", "AL", 0, 77, 0, 0, 0, 0, 9, 8, 94
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page ext\ProdOrderCommentSheet.PageExt.al", "AL", 0, 13, 0, 0, 0, 0, 0, 4, 17
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page ext\ProdOrderComponents.PageExt.al", "AL", 0, 30, 0, 0, 0, 0, 3, 9, 42
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page ext\ProdOrderLineList.PageExt.al", "AL", 0, 13, 0, 0, 0, 0, 0, 1, 14
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page ext\ProdOrderRouting.PageExt.al", "AL", 0, 62, 0, 0, 0, 0, 3, 6, 71
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page ext\ProductionBOMLines.PageExt.al", "AL", 0, 19, 0, 0, 0, 0, 0, 5, 24
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page ext\ProductionJournalExtSC.PageExt.al", "AL", 0, 27, 0, 0, 0, 0, 3, 11, 41
