"filename", "language", "AL", "HTTP", "Markdown", "JSON", "alapp", "XML", "comment", "blank", "total"
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\enum\EnumItemUnitOfMeasure.Enum.al", "AL", 16, 0, 0, 0, 0, 0, 3, 4, 23
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\enum\EnumPostedDocumentType.Enum.al", "AL", 12, 0, 0, 0, 0, 0, 6, 2, 20
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\enum\EnumProductionOrderStatus.Enum.al", "AL", 29, 0, 0, 0, 0, 0, 9, 8, 46
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page Ext\BankAccountLedgerEntriesExtSC.PageExt.al", "AL", 14, 0, 0, 0, 0, 0, 7, 1, 22
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page Ext\BinContentsExtSC.PageExt.al", "AL", 113, 0, 0, 0, 0, 0, 9, 15, 137
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page Ext\CDOEMailRecipientsExtSC.PageExt.al", "AL", 23, 0, 0, 0, 0, 0, 3, 4, 30
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page Ext\CDOUnhandledPurchaseOrderExtSC.PageExt.al", "AL", 19, 0, 0, 0, 0, 0, 10, 3, 32
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page Ext\CampaignCard.PageExt.al", "AL", 7, 0, 0, 0, 0, 0, 7, 2, 16
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page Ext\CampaignListExtSC.PageExt.al", "AL", 14, 0, 0, 0, 0, 0, 10, 2, 26
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page Ext\CustomerCardExtSC.PageExt.al", "AL", 34, 0, 0, 0, 0, 0, 16, 11, 61
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page Ext\CustomerListExtSC.PageExt.al", "AL", 12, 0, 0, 0, 0, 0, 11, 7, 30
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page Ext\CustomerLookupExtSC.PageExt.al", "AL", 10, 0, 0, 0, 0, 0, 12, 8, 30
